#,name,type1,color,type2,total,hp,attack,defence,sp atk,sp def,speed,generation,legendary,strong against,weak against,other,evol level,evol cond,shape,height,weight
1,Bulbasaur,Grass,Green,Poison,318,45,49,49,65,65,45,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",16,None,quadruped,7,69
2,Ivysaur,Grass,Green,Poison,405,60,62,63,80,80,60,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",32,None,quadruped,10,130
3,Venusaur,Grass,Green,Poison,525,80,82,83,100,100,80,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,20,1000
3,VenusaurMega Venusaur,Grass,Green,Poison,625,80,100,123,122,120,80,1,Not Legendary,"Ground, Rock, Water, Fairy, Grass","Bug, Fire, Flying, Ice, Poison, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,upright,6,85
4,Charmander,Fire,Orange,,309,39,52,43,60,50,65,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,16,None,upright,11,190
5,Charmeleon,Fire,Red,,405,58,64,58,80,65,80,1,Not Legendary,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,36,None,upright,17,905
6,Charizard,Fire,Orange,Flying,534,78,84,78,109,85,100,1,Not Legendary,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,5,90
6,CharizardMega Charizard X,Fire,Blue,Dragon,634,78,130,111,130,85,100,1,Not Legendary,"Bug, Grass, Ice, Steel, Dragon","Ground, Rock, Water, Dragon, Fairy, Ice","nan, Not Effective Against Fairy",#N/A,#N/A,upright,10,225
6,CharizardMega Charizard Y,Fire,Orange,Flying,634,78,104,78,159,115,100,1,Not Legendary,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,16,855
7,Squirtle,Water,Blue,,314,44,48,65,50,64,43,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,16,None,squiggle,3,29
8,Wartortle,Water,Blue,,405,59,63,80,65,80,58,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,36,None,squiggle,7,99
9,Blastoise,Water,Blue,,530,79,83,100,85,105,78,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,bug-wings,11,320
9,BlastoiseMega Blastoise,Water,Blue,,630,79,103,120,135,115,78,1,Not Legendary,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,squiggle,3,32
10,Caterpie,Bug,Green,,195,45,30,35,20,20,45,1,Not Legendary,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,7,None,squiggle,6,100
11,Metapod,Bug,Yellow,,205,50,20,55,25,25,30,1,Not Legendary,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,10,None,bug-wings,10,295
12,Butterfree,Bug,Purple,Flying,395,60,45,50,90,80,70,1,Not Legendary,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,wings,3,18
13,Weedle,Bug,Brown,Poison,195,40,35,30,20,20,50,1,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",7,None,wings,11,300
14,Kakuna,Bug,Brown,Poison,205,45,25,50,25,25,35,1,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",10,None,wings,15,395
15,Beedrill,Bug,Yellow,Poison,395,65,90,40,45,80,75,1,Not Legendary,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,3,35
